,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,Germany,"Hong Kong, China (SAR)",Japan,Liechtenstein,Luxembourg,Norway,Singapore,Switzerland,,,,,,,
1,New Zealand,Brunei Darussalam,Qatar,United Arab Emirates,Belgium,Denmark,Finland,Ireland,Netherlands,United States,Andorra,Canada,Iceland,Israel,Italy,Sweden
2,Kuwait,United Kingdom,Saudi Arabia,Spain,Austria,France,,,,,,,,,,
3,Korea (Republic of),Lithuania,Slovenia,Bahrain,Oman,Cyprus,Greece,,,,,,,,,
4,Cuba,Czechia,Estonia,Chile,Libya,Malta,Trinidad and Tobago,,,,,,,,,
5,Croatia,Poland,Slovakia,Hungary,Latvia,Portugal,Equatorial Guinea,,,,,,,,,
6,Argentina,Bahamas,Montenegro,Russian Federation,Romania,Belarus,Kazakhstan,Palau,Antigua and Barbuda,Costa Rica,Lebanon,Mexico,Panama,Uruguay,,
7,Barbados,Sri Lanka,Bulgaria,Georgia,Ukraine,Malaysia,Saint Kitts and Nevis,Dominica,Albania,Bosnia and Herzegovina,Maldives,,,,,
8,Algeria,Saint Lucia,Serbia,Tonga,Seychelles,Turkey,Venezuela (Bolivarian Republic of),Ecuador,Jamaica,China,Tunisia,,,,,
9,Armenia,Azerbaijan,Grenada,Jordan,South Africa,Brazil,Iran (Islamic Republic of),Peru,Thailand,Viet Nam,Syrian Arab Republic,,,,,
10,Fiji,Belize,Mongolia,Samoa,Mauritius,Saint Vincent and the Grenadines,Morocco,,,,,,,,,
11,Moldova (Republic of),Tajikistan,"Palestine, State of",Uzbekistan,Botswana,Colombia,Suriname,Philippines,,,,,,,,
12,Kyrgyzstan,Dominican Republic,Nicaragua,Gabon,Iraq,Bolivia (Plurinational State of),,,,,,,,,,
13,Egypt,El Salvador,Indonesia,Paraguay,Honduras,Kiribati,,,,,,,,,,
14,Namibia,Guatemala,Timor-Leste,Cabo Verde,Guyana,Micronesia (Federated States of),Vanuatu,,,,,,,,,
15,Eswatini (Kingdom of),Bhutan,Angola,Congo,India,Nigeria,Pakistan,Zambia,Bangladesh,Ghana,Kenya,Madagascar,Solomon Islands,,,
16,Lesotho,Cameroon,Lao People's Democratic Republic,Myanmar,Papua New Guinea,Sao Tome and Principe,Yemen,Zimbabwe,Nepal,Uganda,,,,,,
17,Mauritania,Sudan,Côte d'Ivoire,Cambodia,Tanzania (United Republic of),Togo,,,,,,,,,,
18,Djibouti,Comoros,Haiti,Senegal,Benin,Congo (Democratic Republic of the),,,,,,,,,,
19,Eritrea,Rwanda,Afghanistan,Gambia,Liberia,Malawi,Mali,,,,,,,,,
20,Ethiopia,Sierra Leone,Burkina Faso,Guinea,Guinea-Bissau,Mozambique,,,,,,,,,,
21,Chad,Niger,Burundi,Central African Republic,,,,,,,,,,,,
