,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,"Hong Kong, China (SAR)",Iceland,Japan,Liechtenstein,Norway,Qatar,Sweden,Switzerland,United Arab Emirates,,,,,,
1,Brunei Darussalam,Luxembourg,Belgium,Netherlands,United States,Canada,Germany,Israel,New Zealand,Andorra,Austria,Italy,Singapore,Spain,,
2,Kuwait,Denmark,France,Finland,Ireland,United Kingdom,Bahrain,,,,,,,,,
3,Oman,Cyprus,Greece,Bahamas,Estonia,Korea (Republic of),Slovenia,Saudi Arabia,,,,,,,,
4,Chile,Malta,Portugal,Czechia,Poland,,,,,,,,,,,
5,Cuba,Costa Rica,Panama,Croatia,Hungary,Libya,Seychelles,Slovakia,Trinidad and Tobago,Uruguay,Argentina,Lithuania,Palau,,,
6,Dominica,Mexico,Russian Federation,Barbados,Malaysia,Gabon,Bosnia and Herzegovina,Bulgaria,Georgia,Serbia,Sri Lanka,Latvia,,,,
7,Albania,Ecuador,Romania,Tunisia,Iran (Islamic Republic of),Jamaica,Mauritius,Saint Lucia,Venezuela (Bolivarian Republic of),Jordan,Belarus,Fiji,Kazakhstan,Ukraine,,
8,Viet Nam,Brazil,Syrian Arab Republic,Colombia,Dominican Republic,Thailand,Algeria,China,Turkey,Armenia,Belize,Peru,Saint Vincent and the Grenadines,Tonga,Botswana,South Africa
9,Maldives,Egypt,Equatorial Guinea,Iraq,El Salvador,Indonesia,Paraguay,Philippines,Azerbaijan,Cabo Verde,Honduras,Kyrgyzstan,Samoa,Namibia,,
10,Eswatini (Kingdom of),Guatemala,Morocco,Nicaragua,Mongolia,Bolivia (Plurinational State of),Guyana,Moldova (Republic of),Uzbekistan,,,,,,,
11,Timor-Leste,Micronesia (Federated States of),Congo,Pakistan,Yemen,Tajikistan,Kiribati,,,,,,,,,
12,Bangladesh,India,Mauritania,Papua New Guinea,Angola,Cameroon,Lesotho,Ghana,Madagascar,Sao Tome and Principe,Solomon Islands,Zambia,Zimbabwe,,,
13,Lao People's Democratic Republic,Côte d'Ivoire,Kenya,Myanmar,Nepal,Togo,,,,,,,,,,
14,Benin,Cambodia,Haiti,Sudan,Malawi,Uganda,Liberia,,,,,,,,,
15,Gambia,Tanzania (United Republic of),Senegal,,,,,,,,,,,,,
16,Central African Republic,Congo (Democratic Republic of the),Rwanda,Djibouti,,,,,,,,,,,,
17,Mozambique,Sierra Leone,Burundi,Ethiopia,Guinea,Mali,,,,,,,,,,
18,Burkina Faso,Chad,,,,,,,,,,,,,,
19,Niger,,,,,,,,,,,,,,,
