,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Australia,"Hong Kong, China (SAR)",Iceland,Ireland,Liechtenstein,Norway,Qatar,Singapore,Sweden,Switzerland,,,,,
1,Japan,New Zealand,Belgium,Denmark,Germany,United Kingdom,United States,Brunei Darussalam,Luxembourg,United Arab Emirates,Finland,Netherlands,Canada,France,Israel
2,Italy,Spain,Kuwait,Saudi Arabia,Andorra,Austria,Czechia,Korea (Republic of),Slovenia,,,,,,
3,Bahrain,Oman,Greece,Malta,Portugal,Estonia,Lithuania,Slovakia,,,,,,,
4,Cyprus,Poland,Latvia,,,,,,,,,,,,
5,Bahamas,Chile,Costa Rica,Cuba,Trinidad and Tobago,Argentina,Croatia,Hungary,Russian Federation,Belarus,Georgia,Palau,,,
6,Malaysia,Seychelles,Albania,Panama,Lebanon,Antigua and Barbuda,Iran (Islamic Republic of),Montenegro,Uruguay,Bulgaria,Romania,Turkey,Kazakhstan,,
7,Saint Kitts and Nevis,Dominica,Barbados,Bosnia and Herzegovina,Maldives,Mexico,Fiji,Ukraine,Mauritius,,,,,,
8,Equatorial Guinea,Serbia,Sri Lanka,Ecuador,Jamaica,Algeria,Brazil,China,Saint Lucia,Thailand,Azerbaijan,Gabon,Iraq,,
9,Armenia,Grenada,Mongolia,Peru,Tonga,Venezuela (Bolivarian Republic of),Samoa,Colombia,Morocco,Tunisia,Viet Nam,Dominican Republic,Botswana,Suriname,Turkmenistan
10,Kyrgyzstan,Jordan,South Africa,Philippines,Saint Vincent and the Grenadines,Nicaragua,Indonesia,,,,,,,,
11,Belize,El Salvador,Moldova (Republic of),"Palestine, State of",Uzbekistan,Egypt,Libya,Paraguay,Honduras,,,,,,
12,Bolivia (Plurinational State of),Guatemala,Tajikistan,Namibia,Bhutan,Cabo Verde,Guyana,Micronesia (Federated States of),Timor-Leste,,,,,,
13,India,Kiribati,Eswatini (Kingdom of),Bangladesh,Vanuatu,Congo,Ghana,Zambia,,,,,,,
14,Kenya,Lao People's Democratic Republic,Cambodia,Nepal,Solomon Islands,Syrian Arab Republic,Angola,Nigeria,Cameroon,Zimbabwe,,,,,
15,Sao Tome and Principe,Myanmar,Rwanda,Senegal,Lesotho,,,,,,,,,,
16,Comoros,Madagascar,Tanzania (United Republic of),Togo,Uganda,Côte d'Ivoire,Pakistan,Papua New Guinea,,,,,,,
17,Haiti,Malawi,Congo (Democratic Republic of the),Mauritania,Sudan,Afghanistan,Benin,Eritrea,Ethiopia,Yemen,,,,,
18,Liberia,Djibouti,Gambia,Burundi,Guinea-Bissau,Mozambique,Sierra Leone,,,,,,,,
19,Burkina Faso,Chad,Guinea,Mali,Central African Republic,,,,,,,,,,
20,Niger,South Sudan,,,,,,,,,,,,,
