,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Australia,"Hong Kong, China (SAR)",Ireland,Liechtenstein,Norway,Qatar,Singapore,Sweden,Switzerland,,,,,
1,Iceland,Japan,Denmark,Germany,Netherlands,United States,Brunei Darussalam,Luxembourg,United Arab Emirates,Canada,,,,
2,Belgium,Israel,New Zealand,United Kingdom,France,Italy,Spain,Austria,Finland,Kuwait,Andorra,Saudi Arabia,Korea (Republic of),
3,Czechia,Slovenia,Bahrain,Greece,Malta,Portugal,,,,,,,,
4,Lithuania,Estonia,Slovakia,Oman,Cyprus,,,,,,,,,
5,Latvia,Poland,Bahamas,Chile,Costa Rica,Croatia,Cuba,Trinidad and Tobago,,,,,,
6,Argentina,Belarus,Georgia,Hungary,Palau,Russian Federation,Malaysia,Seychelles,Albania,Panama,Lebanon,Antigua and Barbuda,Montenegro,Uruguay
7,Bulgaria,Iran (Islamic Republic of),Romania,Turkey,Kazakhstan,Saint Kitts and Nevis,Dominica,Barbados,Bosnia and Herzegovina,Maldives,Mexico,,,
8,Fiji,Ukraine,Mauritius,Equatorial Guinea,Saint Lucia,Serbia,Tonga,Venezuela (Bolivarian Republic of),Ecuador,Jamaica,Algeria,Brazil,China,Thailand
9,Azerbaijan,Gabon,Iraq,Grenada,Peru,Sri Lanka,Colombia,Morocco,Tunisia,Viet Nam,,,,
10,Botswana,Suriname,South Africa,Armenia,Mongolia,Samoa,Dominican Republic,Saint Vincent and the Grenadines,Nicaragua,,,,,
11,Turkmenistan,Belize,Jordan,Kyrgyzstan,Moldova (Republic of),Egypt,Indonesia,Libya,,,,,,
12,Bolivia (Plurinational State of),El Salvador,Honduras,"Palestine, State of",Paraguay,Philippines,Uzbekistan,Namibia,,,,,,
13,Guatemala,Cabo Verde,Congo,Guyana,Timor-Leste,India,Kiribati,Micronesia (Federated States of),Tajikistan,Eswatini (Kingdom of),,,,
14,Bhutan,Bangladesh,Vanuatu,Angola,Lao People's Democratic Republic,Myanmar,Ghana,Zambia,Sao Tome and Principe,Nigeria,,,,
15,Cambodia,Kenya,Nepal,Solomon Islands,Syrian Arab Republic,Pakistan,Papua New Guinea,Cameroon,Zimbabwe,,,,,
16,Madagascar,Tanzania (United Republic of),Comoros,Rwanda,Senegal,Mauritania,Sudan,Côte d'Ivoire,Lesotho,Togo,Uganda,,,
17,Afghanistan,Benin,Haiti,Yemen,Ethiopia,Djibouti,Congo (Democratic Republic of the),,,,,,,
18,Gambia,Malawi,Mozambique,Sierra Leone,Eritrea,Chad,Guinea,Mali,,,,,,
19,Guinea-Bissau,Liberia,Burundi,Burkina Faso,,,,,,,,,,
20,South Sudan,Central African Republic,Niger,,,,,,,,,,,
