,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,Denmark,Germany,"Hong Kong, China (SAR)",Liechtenstein,Norway,Qatar,Singapore,Switzerland,,,,,,,
1,Iceland,Japan,Belgium,Netherlands,United States,Brunei Darussalam,Kuwait,Luxembourg,United Arab Emirates,Canada,Sweden,,,,,
2,Ireland,Israel,New Zealand,United Kingdom,Italy,Spain,Finland,Saudi Arabia,Andorra,Austria,France,Korea (Republic of),,,,
3,Czechia,Slovenia,Oman,Bahrain,Cyprus,Greece,Malta,Portugal,Trinidad and Tobago,,,,,,,
4,Estonia,Poland,Slovakia,Bahamas,Chile,Cuba,Costa Rica,Lebanon,,,,,,,,
5,Latvia,Lithuania,Croatia,Hungary,Argentina,Montenegro,Russian Federation,Malaysia,Albania,Panama,,,,,,
6,Seychelles,Uruguay,Belarus,Georgia,Palau,Turkey,Barbados,Bulgaria,Iran (Islamic Republic of),Romania,Kazakhstan,Saint Kitts and Nevis,Dominica,,,
7,Equatorial Guinea,Antigua and Barbuda,Bosnia and Herzegovina,Jamaica,Mexico,Ukraine,Mauritius,Serbia,Sri Lanka,Tonga,Venezuela (Bolivarian Republic of),,,,,
8,Ecuador,Saint Lucia,Algeria,Brazil,China,Maldives,Fiji,Iraq,Mongolia,Peru,Armenia,Samoa,Azerbaijan,Colombia,Grenada,Jordan
9,Thailand,Tunisia,Viet Nam,Kyrgyzstan,Botswana,Gabon,South Africa,Suriname,Turkmenistan,Dominican Republic,Belize,Moldova (Republic of),Saint Vincent and the Grenadines,Uzbekistan,"Palestine, State of",
10,Libya,Morocco,Nicaragua,Bolivia (Plurinational State of),Indonesia,Paraguay,Philippines,Tajikistan,,,,,,,,
11,Egypt,Honduras,El Salvador,Micronesia (Federated States of),Guyana,Kiribati,,,,,,,,,,
12,Namibia,Cabo Verde,Guatemala,Timor-Leste,Vanuatu,Zambia,,,,,,,,,,
13,Eswatini (Kingdom of),Ghana,Bangladesh,Congo,India,Syrian Arab Republic,Bhutan,Angola,Kenya,Zimbabwe,,,,,,
14,Nigeria,Cameroon,Lao People's Democratic Republic,Myanmar,Pakistan,Sao Tome and Principe,Cambodia,Nepal,Solomon Islands,Madagascar,Uganda,,,,,
15,Lesotho,Papua New Guinea,Mauritania,Yemen,Tanzania (United Republic of),Senegal,Comoros,Rwanda,Togo,,,,,,,
16,Côte d'Ivoire,Djibouti,Sudan,Afghanistan,Benin,Haiti,Malawi,Ethiopia,Congo (Democratic Republic of the),,,,,,,
17,Eritrea,Chad,Mali,Sierra Leone,Gambia,Guinea,Liberia,Mozambique,,,,,,,,
18,Burkina Faso,Guinea-Bissau,Burundi,,,,,,,,,,,,,
19,Niger,South Sudan,Central African Republic,,,,,,,,,,,,,
