,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Australia,Denmark,Germany,"Hong Kong, China (SAR)",Japan,Liechtenstein,Norway,Qatar,Singapore,Switzerland,,,,,,,
1,New Zealand,Brunei Darussalam,Netherlands,United States,Kuwait,Luxembourg,Canada,Iceland,Italy,Spain,Sweden,,,,,,
2,Belgium,Finland,United Kingdom,Saudi Arabia,United Arab Emirates,Ireland,Israel,Korea (Republic of),Andorra,Austria,France,,,,,,
3,Estonia,Slovenia,Oman,Bahrain,Cyprus,Greece,Malta,Portugal,,,,,,,,,
4,Cuba,Czechia,Chile,Trinidad and Tobago,Costa Rica,Lebanon,,,,,,,,,,,
5,Croatia,Lithuania,Poland,Slovakia,Albania,Panama,Dominica,,,,,,,,,,
6,Uruguay,Latvia,Hungary,Argentina,Bahamas,Russian Federation,,,,,,,,,,,
7,Mexico,Belarus,Kazakhstan,Palau,Antigua and Barbuda,Barbados,Montenegro,Romania,Malaysia,Equatorial Guinea,,,,,,,
8,Bosnia and Herzegovina,Maldives,Ukraine,Algeria,China,Ecuador,Georgia,Jamaica,Saint Lucia,Sri Lanka,Bulgaria,Serbia,Venezuela (Bolivarian Republic of),Iran (Islamic Republic of),Saint Kitts and Nevis,Seychelles,Turkey
9,Viet Nam,Tunisia,Tonga,Fiji,Armenia,Mongolia,Azerbaijan,Grenada,South Africa,Jordan,Mauritius,Peru,Brazil,Thailand,,,
10,Morocco,Samoa,Belize,Moldova (Republic of),Botswana,Colombia,Saint Vincent and the Grenadines,Suriname,Libya,Nicaragua,,,,,,,
11,"Palestine, State of",Uzbekistan,Kyrgyzstan,Dominican Republic,Turkmenistan,Bolivia (Plurinational State of),Philippines,Gabon,Iraq,,,,,,,,
12,Tajikistan,Egypt,El Salvador,Honduras,Indonesia,Paraguay,,,,,,,,,,,
13,Kiribati,Namibia,Timor-Leste,Cabo Verde,Guatemala,Guyana,Micronesia (Federated States of),Syrian Arab Republic,,,,,,,,,
14,Eswatini (Kingdom of),Bhutan,Zambia,Angola,Congo,Ghana,India,Vanuatu,,,,,,,,,
15,Nigeria,Lesotho,Cameroon,Lao People's Democratic Republic,Myanmar,Pakistan,Bangladesh,Kenya,Sao Tome and Principe,Solomon Islands,Zimbabwe,,,,,,
16,Papua New Guinea,Mauritania,Yemen,Cambodia,Nepal,Madagascar,Uganda,,,,,,,,,,
17,Djibouti,Sudan,Comoros,Côte d'Ivoire,Rwanda,Senegal,Tanzania (United Republic of),Togo,,,,,,,,,
18,Eritrea,Ethiopia,Afghanistan,Benin,Haiti,Malawi,South Sudan,Congo (Democratic Republic of the),,,,,,,,,
19,Mali,Gambia,Guinea,Guinea-Bissau,Liberia,Sierra Leone,Mozambique,Chad,,,,,,,,,
20,Burkina Faso,Burundi,Central African Republic,,,,,,,,,,,,,,
21,Niger,,,,,,,,,,,,,,,,
