,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,Japan,Liechtenstein,Luxembourg,Norway,Sweden,Switzerland,,,,,,,,,
1,"Hong Kong, China (SAR)",Brunei Darussalam,Qatar,United Arab Emirates,Netherlands,United States,Canada,Germany,Israel,New Zealand,United Kingdom,Andorra,Iceland,Italy,Singapore,
2,Kuwait,Austria,Belgium,Denmark,France,Spain,Bahrain,,,,,,,,,
3,Finland,Ireland,Cyprus,Greece,Oman,Saudi Arabia,,,,,,,,,,
4,Bahamas,Estonia,Korea (Republic of),Slovenia,Chile,Portugal,Malta,,,,,,,,,
5,Czechia,Poland,Cuba,Costa Rica,Dominica,Panama,,,,,,,,,,
6,Argentina,Croatia,Hungary,Libya,Seychelles,Slovakia,Lithuania,Palau,,,,,,,,
7,Barbados,Georgia,Mexico,Uruguay,Russian Federation,Trinidad and Tobago,Malaysia,Latvia,Ukraine,,,,,,,
8,Bulgaria,Romania,Serbia,Sri Lanka,Albania,Bosnia and Herzegovina,Ecuador,Gabon,Brazil,Iran (Islamic Republic of),Jamaica,Mauritius,Saint Lucia,Venezuela (Bolivarian Republic of),Fiji,Kazakhstan
9,Belarus,Jordan,Tunisia,Viet Nam,Colombia,Dominican Republic,Thailand,Algeria,Turkey,Botswana,South Africa,,,,,
10,Armenia,Belize,Peru,Saint Vincent and the Grenadines,Tonga,China,Syrian Arab Republic,Egypt,Iraq,Maldives,,,,,,
11,El Salvador,Indonesia,Namibia,Paraguay,Philippines,Azerbaijan,Bolivia (Plurinational State of),Kyrgyzstan,Samoa,Honduras,Equatorial Guinea,,,,,
12,Guatemala,Cabo Verde,Morocco,Nicaragua,Guyana,Mongolia,Moldova (Republic of),Tajikistan,Uzbekistan,Eswatini (Kingdom of),,,,,,
13,Timor-Leste,Micronesia (Federated States of),Congo,Pakistan,Yemen,Kiribati,,,,,,,,,,
14,Bangladesh,India,Mauritania,Papua New Guinea,Lesotho,Ghana,Madagascar,Sao Tome and Principe,Zimbabwe,,,,,,,
15,Cameroon,Lao People's Democratic Republic,Côte d'Ivoire,Kenya,Nepal,Solomon Islands,Togo,Zambia,,,,,,,,
16,Angola,Haiti,Sudan,Uganda,Cambodia,Myanmar,Liberia,,,,,,,,,
17,Benin,Gambia,Malawi,Tanzania (United Republic of),Djibouti,Senegal,,,,,,,,,,
18,Central African Republic,Congo (Democratic Republic of the),Rwanda,Burundi,Ethiopia,Guinea,Mali,,,,,,,,,
19,Mozambique,Sierra Leone,Burkina Faso,Chad,,,,,,,,,,,,
20,Niger,,,,,,,,,,,,,,,
