,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,"Hong Kong, China (SAR)",Iceland,Japan,Liechtenstein,Norway,Qatar,Sweden,Switzerland,,,,,,,
1,Brunei Darussalam,Luxembourg,United Arab Emirates,Belgium,Denmark,Netherlands,United States,Canada,Germany,Israel,New Zealand,Andorra,Austria,Italy,Singapore,
2,Kuwait,France,Finland,Ireland,United Kingdom,Spain,Bahrain,,,,,,,,,
3,Oman,Greece,Estonia,Korea (Republic of),Slovenia,Cyprus,Saudi Arabia,,,,,,,,,
4,Bahamas,Malta,Czechia,Poland,Chile,Portugal,,,,,,,,,,
5,Costa Rica,Croatia,Hungary,Slovakia,Trinidad and Tobago,Argentina,Lithuania,Cuba,Panama,Uruguay,Libya,,,,,
6,Dominica,Mexico,Russian Federation,Seychelles,Barbados,Malaysia,Georgia,Sri Lanka,Latvia,Palau,Albania,Bosnia and Herzegovina,,,,
7,Gabon,Bulgaria,Ecuador,Jordan,Romania,Serbia,Iran (Islamic Republic of),Jamaica,Mauritius,Turkey,Venezuela (Bolivarian Republic of),Kazakhstan,Ukraine,Syrian Arab Republic,Tunisia,Viet Nam
8,Belarus,Saint Lucia,Brazil,Armenia,Belize,Fiji,Grenada,Peru,Tonga,Algeria,South Africa,China,,,,
9,Colombia,Dominican Republic,Maldives,Thailand,Iraq,Azerbaijan,Saint Vincent and the Grenadines,Kyrgyzstan,Samoa,Botswana,,,,,,
10,Cabo Verde,Honduras,Equatorial Guinea,Moldova (Republic of),Egypt,El Salvador,Indonesia,Namibia,Nicaragua,Paraguay,Philippines,Bolivia (Plurinational State of),Uzbekistan,,,
11,Tajikistan,Guatemala,Micronesia (Federated States of),Morocco,Guyana,Mongolia,,,,,,,,,,
12,Eswatini (Kingdom of),Timor-Leste,Bangladesh,Kiribati,Congo,India,Lao People's Democratic Republic,Pakistan,Papua New Guinea,,,,,,,
13,Yemen,Ghana,Madagascar,Sao Tome and Principe,Solomon Islands,Zambia,Zimbabwe,Angola,Cameroon,Lesotho,Mauritania,,,,,
14,Kenya,Uganda,Benin,Cambodia,Haiti,Myanmar,Nepal,Togo,Côte d'Ivoire,Sudan,,,,,,
15,Tanzania (United Republic of),Gambia,Liberia,Malawi,Djibouti,Senegal,,,,,,,,,,
16,Rwanda,Sierra Leone,Afghanistan,Congo (Democratic Republic of the),Guinea,Mali,,,,,,,,,,
17,Central African Republic,Mozambique,Burundi,Ethiopia,Burkina Faso,Chad,,,,,,,,,,
18,Niger,,,,,,,,,,,,,,,
