,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Australia,Denmark,Germany,"Hong Kong, China (SAR)",Liechtenstein,Norway,Qatar,Singapore,Switzerland,,,,,,,,
1,Iceland,Ireland,Japan,Netherlands,United States,Brunei Darussalam,Kuwait,Luxembourg,United Arab Emirates,Canada,Sweden,,,,,,
2,Israel,New Zealand,United Kingdom,Belgium,Finland,France,Italy,Spain,Saudi Arabia,Austria,Korea (Republic of),,,,,,
3,Czechia,Slovenia,Andorra,Greece,Malta,Portugal,,,,,,,,,,,
4,Lithuania,Estonia,Slovakia,Oman,Poland,Cyprus,,,,,,,,,,,
5,Latvia,Hungary,Russian Federation,Bahrain,Argentina,Bahamas,Chile,Costa Rica,Croatia,Cuba,Montenegro,Trinidad and Tobago,,,,,
6,Belarus,Georgia,Palau,Kazakhstan,Malaysia,Seychelles,Turkey,Albania,Panama,Lebanon,Barbados,Bulgaria,Iran (Islamic Republic of),Romania,Uruguay,,
7,Ukraine,Saint Kitts and Nevis,Dominica,Tonga,Mauritius,Serbia,Venezuela (Bolivarian Republic of),Antigua and Barbuda,Bosnia and Herzegovina,Mexico,,,,,,,
8,Fiji,Equatorial Guinea,Mongolia,Peru,Sri Lanka,Azerbaijan,Grenada,Colombia,Ecuador,Gabon,Iraq,Saint Lucia,Jamaica,Algeria,Brazil,China,Maldives
9,Armenia,Jordan,Samoa,Botswana,South Africa,Suriname,Saint Vincent and the Grenadines,Thailand,Turkmenistan,Dominican Republic,Tunisia,Viet Nam,,,,,
10,Belize,Kyrgyzstan,Moldova (Republic of),Uzbekistan,Philippines,"Palestine, State of",Paraguay,Egypt,El Salvador,Indonesia,Libya,Morocco,Nicaragua,,,,
11,Bolivia (Plurinational State of),Tajikistan,Cabo Verde,Guatemala,Namibia,Guyana,Micronesia (Federated States of),Honduras,Vanuatu,,,,,,,,
12,Kiribati,India,Bhutan,Timor-Leste,Eswatini (Kingdom of),Angola,Congo,Ghana,Zambia,Bangladesh,,,,,,,
13,Kenya,Sao Tome and Principe,Lao People's Democratic Republic,Myanmar,Pakistan,Nigeria,Cameroon,Zimbabwe,Cambodia,Nepal,Solomon Islands,Syrian Arab Republic,,,,,
14,Madagascar,Papua New Guinea,Mauritania,Sudan,Yemen,Lesotho,Uganda,Comoros,Rwanda,Senegal,Tanzania (United Republic of),,,,,,
15,Togo,Côte d'Ivoire,Djibouti,Congo (Democratic Republic of the),Malawi,Ethiopia,Afghanistan,Benin,Eritrea,Haiti,,,,,,,
16,Chad,Mali,Burkina Faso,Gambia,Guinea,Guinea-Bissau,Liberia,Mozambique,Sierra Leone,,,,,,,,
17,Niger,South Sudan,Burundi,,,,,,,,,,,,,,
18,Central African Republic,,,,,,,,,,,,,,,,
