,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,"Hong Kong, China (SAR)",Iceland,Japan,Liechtenstein,Norway,Qatar,Sweden,Switzerland,,,,,,,
1,Brunei Darussalam,Luxembourg,Denmark,Netherlands,United States,United Arab Emirates,Belgium,Canada,Germany,Ireland,Israel,New Zealand,Andorra,Austria,Italy,Singapore
2,Kuwait,France,Finland,United Kingdom,Spain,Bahrain,,,,,,,,,,
3,Saudi Arabia,Greece,Cyprus,Korea (Republic of),Slovenia,Oman,,,,,,,,,,
4,Malta,Chile,Portugal,Bahamas,Czechia,Estonia,Poland,,,,,,,,,
5,Costa Rica,Cuba,Croatia,Hungary,Libya,Panama,Slovakia,Trinidad and Tobago,Uruguay,Lithuania,Argentina,,,,,
6,Dominica,Mexico,Russian Federation,Barbados,Malaysia,Seychelles,Gabon,Albania,Bosnia and Herzegovina,Latvia,Bulgaria,Georgia,,,,
7,Ecuador,Jordan,Montenegro,Romania,Sri Lanka,Venezuela (Bolivarian Republic of),Iran (Islamic Republic of),Mauritius,Turkey,Syrian Arab Republic,Tunisia,Viet Nam,Palau,Tonga,,
8,Jamaica,Saint Lucia,Serbia,Grenada,Maldives,Algeria,Brazil,China,Kazakhstan,Ukraine,,,,,,
9,Thailand,Armenia,Belarus,Belize,Fiji,Peru,Saint Vincent and the Grenadines,Samoa,Colombia,Dominican Republic,Botswana,Equatorial Guinea,South Africa,,,
10,Kyrgyzstan,Azerbaijan,Cabo Verde,Egypt,El Salvador,Honduras,Indonesia,Morocco,Namibia,Nicaragua,Paraguay,,,,,
11,Bolivia (Plurinational State of),Moldova (Republic of),Mongolia,Philippines,Uzbekistan,Iraq,Guatemala,Micronesia (Federated States of),,,,,,,,
12,Tajikistan,Guyana,Kiribati,Eswatini (Kingdom of),Timor-Leste,Bangladesh,,,,,,,,,,
13,Congo,Ghana,India,Lesotho,Pakistan,Solomon Islands,Zambia,Kenya,Madagascar,Sao Tome and Principe,Nepal,,,,,
14,Angola,Nigeria,Uganda,Cameroon,Lao People's Democratic Republic,Papua New Guinea,Mauritania,Yemen,Zimbabwe,Cambodia,Myanmar,Togo,,,,
15,Côte d'Ivoire,Haiti,Tanzania (United Republic of),Sudan,Benin,Liberia,,,,,,,,,,
16,Afghanistan,Gambia,Malawi,Congo (Democratic Republic of the),Djibouti,Senegal,Rwanda,Sierra Leone,,,,,,,,
17,Burkina Faso,Ethiopia,Guinea,Mali,Burundi,Central African Republic,Mozambique,,,,,,,,,
18,Niger,Chad,,,,,,,,,,,,,,
