,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,"Hong Kong, China (SAR)",Japan,Liechtenstein,New Zealand,Norway,Qatar,Singapore,Switzerland,,,,,,,
1,Germany,Brunei Darussalam,Belgium,Denmark,Ireland,Luxembourg,United Arab Emirates,United States,Kuwait,Andorra,Canada,Iceland,Israel,Italy,Netherlands,Sweden
2,Finland,United Kingdom,Saudi Arabia,Spain,Austria,Oman,France,,,,,,,,,
3,Korea (Republic of),Slovenia,Bahrain,Cyprus,Greece,,,,,,,,,,,
4,Cuba,Czechia,Estonia,Equatorial Guinea,Libya,Malta,Portugal,Trinidad and Tobago,,,,,,,,
5,Croatia,Poland,Slovakia,Hungary,Latvia,Lithuania,Chile,Costa Rica,,,,,,,,
6,Argentina,Antigua and Barbuda,Bahamas,Montenegro,Russian Federation,Romania,Belarus,Kazakhstan,Palau,Lebanon,Panama,Uruguay,,,,
7,Barbados,Malaysia,Saint Kitts and Nevis,Sri Lanka,Bulgaria,Georgia,Ukraine,Dominica,Albania,Mexico,,,,,,
8,Serbia,Iran (Islamic Republic of),Seychelles,Turkey,Venezuela (Bolivarian Republic of),Armenia,Azerbaijan,Tonga,Jamaica,Algeria,Bosnia and Herzegovina,Ecuador,Maldives,Saint Lucia,,
9,Fiji,Grenada,Jordan,South Africa,Brazil,Mauritius,Peru,China,Tunisia,Viet Nam,Thailand,,,,,
10,Belize,Kyrgyzstan,Moldova (Republic of),Mongolia,Samoa,Botswana,Colombia,Gabon,Saint Vincent and the Grenadines,Suriname,Morocco,Nicaragua,,,,
11,"Palestine, State of",Tajikistan,Uzbekistan,Dominican Republic,Syrian Arab Republic,Bolivia (Plurinational State of),Philippines,Iraq,,,,,,,,
12,Egypt,El Salvador,Indonesia,Paraguay,Honduras,Kiribati,,,,,,,,,,
13,Namibia,Timor-Leste,Guatemala,Cabo Verde,Guyana,Micronesia (Federated States of),Vanuatu,,,,,,,,,
14,Eswatini (Kingdom of),Angola,Bhutan,India,Congo,Nigeria,Pakistan,Ghana,Zambia,Bangladesh,Kenya,Madagascar,Solomon Islands,,,
15,Lao People's Democratic Republic,Myanmar,Papua New Guinea,Sao Tome and Principe,Yemen,Cameroon,Lesotho,Zimbabwe,Cambodia,Nepal,Uganda,,,,,
16,Mauritania,Sudan,Comoros,Haiti,Tanzania (United Republic of),Togo,Côte d'Ivoire,Rwanda,Senegal,,,,,,,
17,Djibouti,Eritrea,Afghanistan,Benin,Gambia,Liberia,Congo (Democratic Republic of the),Malawi,,,,,,,,
18,Ethiopia,Guinea-Bissau,Mali,Sierra Leone,Burkina Faso,Guinea,Burundi,Mozambique,,,,,,,,
19,Chad,Niger,Central African Republic,,,,,,,,,,,,,
