,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,"Hong Kong, China (SAR)",Iceland,Ireland,Liechtenstein,Norway,Qatar,Singapore,Sweden,Switzerland,,,,,,
1,Japan,New Zealand,Belgium,Denmark,Germany,Netherlands,United Kingdom,United States,Brunei Darussalam,Luxembourg,United Arab Emirates,Canada,France,Israel,,
2,Italy,Spain,Austria,Finland,Kuwait,Andorra,Saudi Arabia,Korea (Republic of),,,,,,,,
3,Bahrain,Czechia,Slovenia,Oman,Greece,Malta,Portugal,,,,,,,,,
4,Estonia,Lithuania,Poland,Slovakia,Cyprus,,,,,,,,,,,
5,Latvia,Hungary,Argentina,Bahamas,Chile,Costa Rica,Croatia,Cuba,Trinidad and Tobago,,,,,,,
6,Belarus,Georgia,Palau,Russian Federation,Bulgaria,Romania,Turkey,Malaysia,Seychelles,Albania,Panama,Lebanon,Antigua and Barbuda,Iran (Islamic Republic of),Montenegro,Uruguay
7,Kazakhstan,Ukraine,Mauritius,Saint Kitts and Nevis,Dominica,Barbados,Fiji,Bosnia and Herzegovina,Maldives,Mexico,,,,,,
8,Equatorial Guinea,Iraq,Azerbaijan,Serbia,Sri Lanka,Ecuador,Jamaica,Algeria,Brazil,China,Gabon,Saint Lucia,Thailand,,,
9,Botswana,Turkmenistan,Armenia,Grenada,Mongolia,Peru,Tonga,Samoa,Venezuela (Bolivarian Republic of),Viet Nam,Tunisia,Colombia,Morocco,Dominican Republic,Suriname,
10,South Africa,Jordan,Kyrgyzstan,Marshall Islands,Uzbekistan,Nicaragua,Philippines,Saint Vincent and the Grenadines,Libya,Indonesia,,,,,,
11,Belize,El Salvador,Guatemala,Moldova (Republic of),"Palestine, State of",Paraguay,Egypt,,,,,,,,,
12,Bolivia (Plurinational State of),Honduras,Tajikistan,Cabo Verde,Guyana,Bhutan,Namibia,Timor-Leste,,,,,,,,
13,India,Micronesia (Federated States of),Kiribati,Bangladesh,Vanuatu,Eswatini (Kingdom of),Ghana,,,,,,,,,
14,Angola,Congo,Lao People's Democratic Republic,Kenya,Sao Tome and Principe,Zambia,Cambodia,Nepal,Solomon Islands,Syrian Arab Republic,,,,,,
15,Nigeria,Myanmar,Madagascar,Cameroon,Zimbabwe,Tanzania (United Republic of),Senegal,Comoros,Rwanda,,,,,,,
16,Côte d'Ivoire,Pakistan,Papua New Guinea,Lesotho,Togo,Uganda,Haiti,Malawi,,,,,,,,
17,Ethiopia,Mauritania,Sudan,Afghanistan,Benin,Eritrea,Yemen,Congo (Democratic Republic of the),Liberia,,,,,,,
18,Djibouti,Gambia,Guinea-Bissau,Mozambique,Sierra Leone,Burundi,,,,,,,,,,
19,Burkina Faso,Guinea,Central African Republic,,,,,,,,,,,,,
20,Chad,Mali,Niger,South Sudan,,,,,,,,,,,,
