,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Australia,Denmark,Germany,"Hong Kong, China (SAR)",Liechtenstein,Norway,Qatar,Singapore,Switzerland,United States,,,,,,
1,Iceland,New Zealand,Japan,Brunei Darussalam,Belgium,Netherlands,Kuwait,Luxembourg,Canada,Sweden,,,,,,
2,Israel,Italy,Spain,Austria,Finland,Ireland,Saudi Arabia,United Arab Emirates,Korea (Republic of),Andorra,France,,,,,
3,Estonia,United Kingdom,Oman,,,,,,,,,,,,,
4,Bahrain,Cyprus,Czechia,Greece,Malta,Portugal,Slovenia,,,,,,,,,
5,Bahamas,Chile,Costa Rica,Croatia,Cuba,Hungary,Latvia,Lebanon,Lithuania,Poland,Slovakia,,,,,
6,Trinidad and Tobago,Albania,Panama,Uruguay,Dominica,Belarus,Argentina,Georgia,Kazakhstan,Libya,Malaysia,Montenegro,Palau,Russian Federation,Seychelles,Turkey
7,Bosnia and Herzegovina,Mexico,Antigua and Barbuda,Barbados,Iran (Islamic Republic of),Romania,Saint Kitts and Nevis,Ukraine,Equatorial Guinea,,,,,,,
8,Maldives,China,Ecuador,Algeria,Jamaica,Saint Lucia,Brazil,Bulgaria,Mauritius,Serbia,Sri Lanka,Thailand,Venezuela (Bolivarian Republic of),,,
9,Viet Nam,Tunisia,Fiji,Tonga,Peru,Armenia,Mongolia,Azerbaijan,Colombia,Grenada,Jordan,Samoa,,,,
10,Morocco,Nicaragua,Botswana,Gabon,South Africa,Suriname,Dominican Republic,Turkmenistan,Belize,Kyrgyzstan,Moldova (Republic of),Saint Vincent and the Grenadines,Uzbekistan,"Palestine, State of",,
11,Iraq,Bolivia (Plurinational State of),Egypt,El Salvador,Indonesia,Paraguay,Philippines,Tajikistan,Honduras,,,,,,,
12,Namibia,Cabo Verde,Guatemala,Micronesia (Federated States of),Syrian Arab Republic,Vanuatu,Guyana,Kiribati,,,,,,,,
13,Eswatini (Kingdom of),Bangladesh,India,Timor-Leste,Bhutan,Angola,Congo,Ghana,Zambia,Kenya,,,,,,
14,Nigeria,Nepal,Solomon Islands,Cambodia,Lao People's Democratic Republic,Myanmar,Pakistan,Sao Tome and Principe,Cameroon,Lesotho,Zimbabwe,Madagascar,Uganda,,,
15,Papua New Guinea,Mauritania,Sudan,Yemen,Comoros,Rwanda,Senegal,Tanzania (United Republic of),Togo,,,,,,,
16,Côte d'Ivoire,Djibouti,Eritrea,Ethiopia,Afghanistan,Benin,Haiti,Malawi,Congo (Democratic Republic of the),,,,,,,
17,Chad,Mali,Gambia,Guinea,Guinea-Bissau,Liberia,Sierra Leone,Mozambique,,,,,,,,
18,Burkina Faso,South Sudan,Burundi,Central African Republic,,,,,,,,,,,,
19,Niger,,,,,,,,,,,,,,,
